"method","type","param","cluster","dim.x","mean","sd","lower","upper","width","dim.y","true","bias","rmse"
"connectivity_only","mu","mu[3,1]",3,1,-3.72242268862474,0.178864899156174,-4.07508320370006,-3.35951577935713,0.715567424342926,1,-4,0.277577311375258,0.330214802727657
"connectivity_only","mu","mu[3,1]",3,1,-3.72242268862474,0.178864899156174,-4.07508320370006,-3.35951577935713,0.715567424342926,2,4,-7.72242268862474,7.72449382380078
"connectivity_only","mu","mu[3,1]",3,1,-3.72242268862474,0.178864899156174,-4.07508320370006,-3.35951577935713,0.715567424342926,3,-4,0.277577311375258,0.330214802727657
"connectivity_only","mu","mu[3,1]",3,1,-3.72242268862474,0.178864899156174,-4.07508320370006,-3.35951577935713,0.715567424342926,4,4,-7.72242268862474,7.72449382380078
"connectivity_only","mu","mu[3,2]",3,2,4.37238085343554,0.24604043227385,3.88067801000498,4.83919974710244,0.958521737097461,1,-4,8.37238085343554,8.37599528708603
"connectivity_only","mu","mu[3,2]",3,2,4.37238085343554,0.24604043227385,3.88067801000498,4.83919974710244,0.958521737097461,2,4,0.372380853435535,0.44632207464888
"connectivity_only","mu","mu[3,2]",3,2,4.37238085343554,0.24604043227385,3.88067801000498,4.83919974710244,0.958521737097461,3,-4,8.37238085343554,8.37599528708603
"connectivity_only","mu","mu[3,2]",3,2,4.37238085343554,0.24604043227385,3.88067801000498,4.83919974710244,0.958521737097461,4,4,0.372380853435535,0.44632207464888
"connectivity_only","mu","mu[3,3]",3,3,-4.0003040806225,0.19163495971182,-4.36195802457908,-3.62262778285091,0.739330241728169,1,-4,-0.000304080622497871,0.191635200964687
"connectivity_only","mu","mu[3,3]",3,3,-4.0003040806225,0.19163495971182,-4.36195802457908,-3.62262778285091,0.739330241728169,2,4,-8.0003040806225,8.0025989116167
"connectivity_only","mu","mu[3,3]",3,3,-4.0003040806225,0.19163495971182,-4.36195802457908,-3.62262778285091,0.739330241728169,3,-4,-0.000304080622497871,0.191635200964687
"connectivity_only","mu","mu[3,3]",3,3,-4.0003040806225,0.19163495971182,-4.36195802457908,-3.62262778285091,0.739330241728169,4,4,-8.0003040806225,8.0025989116167
"connectivity_only","mu","mu[3,4]",3,4,4.17354928216771,0.236692321688301,3.71513253407538,4.63999354347811,0.924861009402729,1,-4,8.17354928216771,8.17697567094158
"connectivity_only","mu","mu[3,4]",3,4,4.17354928216771,0.236692321688301,3.71513253407538,4.63999354347811,0.924861009402729,2,4,0.173549282167714,0.293500610709973
"connectivity_only","mu","mu[3,4]",3,4,4.17354928216771,0.236692321688301,3.71513253407538,4.63999354347811,0.924861009402729,3,-4,8.17354928216771,8.17697567094158
"connectivity_only","mu","mu[3,4]",3,4,4.17354928216771,0.236692321688301,3.71513253407538,4.63999354347811,0.924861009402729,4,4,0.173549282167714,0.293500610709973
"connectivity_only","pi","pi[1]",1,NA,0.555963930133784,0.169269053879364,0.0456173885092234,0.797990527340662,0.752373138831438,NA,0.5,0.0559639301337842,0.178280604882399
"connectivity_only","pi","pi[2]",2,NA,0.247151526371528,0.166525255739963,0.0151593014769624,0.738033930611772,0.72287462913481,NA,0.3,-0.0528484736284718,0.174710108362737
"connectivity_only","pi","pi[3]",3,NA,0.196884543494688,0.0323426383771427,0.136922533028153,0.265350933216792,0.128428400188638,NA,0.2,-0.00311545650531242,0.0324923425814625
"connectivity_only","sigma","sigma[1,1]",1,1,1.21564436907016,0.326737471810825,0.537352339179728,1.84453008886881,1.30717774968908,1,1,0.215644369070163,0.391484187927173
"connectivity_only","sigma","sigma[1,1]",1,1,1.21564436907016,0.326737471810825,0.537352339179728,1.84453008886881,1.30717774968908,2,1,0.215644369070163,0.391484187927173
