Bird.ID,Breeding.site.latitude,Breeding.site.longitude,Wintering.site.1.latitude,Wintering.site.1.longitude
174,FR_208,53.774422,7.738399,45.930466,-1.229147
175,FR_209,51.112545,4.969448,45.894534,-1.082713
176,FR_838,63.97235,50.65565,45.894112,-1.082422
177,FR_997,NA,NA,47.52485,-2.49555
178,DE_403,51.959915,8.356466,50.80814,-0.956981
179,DE_405,53.761879,7.727618,51.709507,-4.849808
180,DE_406,52.149868,6.955588,51.481503,0.543885
181,DE_410,52.575008,8.69198,48.29557,-4.206779
182,DE_411,52.580421,8.772256,38.436073,-8.823475
183,DE_412,53.754345,7.67791,51.520084,3.584806
184,DE_414,52.509193,8.504307,50.539845,1.603934
185,DE_415,52.565228,8.752785,44.646072,-1.037557
186,DE_416,52.572315,8.67319,50.829086,-1.046407
187,DE_417,52.528316,8.741718,53.264744,-8.996079
188,DE_418,52.577969,8.670904,51.367661,0.936057
189,DE_420,51.681114,8.530475,46.037121,-1.05258
190,DE_421,53.12183,8.825067,46.045902,-1.059117
191,DE_422,53.125572,8.941085,48.634056,-1.862913
192,DE_424,53.102337,8.68266,52.085999,1.554132
193,DE_425,52.867924,7.766612,51.403946,0.679147
194,DE_427,53.577019,8.999432,50.705391,-2.075758
195,DE_430,53.595215,6.703501,52.566074,-9.477941
196,DE_431,53.427063,7.335671,52.215134,-6.654392
197,DE_432,53.333519,7.411407,53.724873,-2.940434
198,DE_433,52.977081,7.329878,53.35191,5.688473
199,DE_434,53.399147,7.548162,51.694969,0.752759
200,DE_435,53.37146,7.472645,53.493877,6.294812
201,DE_436,53.591274,9.139198,51.730484,-4.367015
202,DE_437,53.529911,8.955007,52.28109,-6.972279
203,DE_438,53.392956,8.565467,38.507076,-8.763252
204,DE_439,53.374184,7.440854,54.58371,-0.918669
205,DE_440,53.39706,7.541199,53.134518,4.903927
206,DE_441,52.76643,7.717044,47.010639,-2.031451
207,DE_442,53.394119,8.558226,53.291443,-3.601199
208,DE_443,53.390034,8.557619,51.635384,-4.235904
209,DE_444,53.096882,8.982426,51.80962,1.045274
210,DE_445,53.248901,7.590877,46.955109,-2.04975
211,DE_446,53.141285,8.813759,48.825104,-3.373433
212,DE_447,53.104836,8.684667,51.087055,-4.110075
213,DE_448,53.147488,8.826127,50.832508,-1.337737
214,DE_449,53.132401,8.814791,51.418873,0.724813
215,DE_461,51.902721,8.141784,48.839745,-3.193676
216,DE_462,51.636452,8.047283,40.694279,-8.664829
217,DE_464,52.573551,6.992362,53.30167,-4.551057
218,DE_465,51.653797,8.48649,48.863907,-3.184865
219,DE_466,51.697426,8.127411,51.393738,3.804226
220,DE_471,52.178509,7.417845,51.62595,3.726465
221,DE_472,52.200565,7.498133,48.67366,-1.495601
222,DE_473,52.187607,7.712137,45.891811,-1.083771
223,DE_475,52.841782,7.710012,51.657768,3.786536
224,DE_476,52.795456,7.787639,50.809635,-0.8944
225,DE_477,52.801018,7.805603,47.56419,-2.96396
226,DE_478,52.717331,8.638622,51.883984,-8.650146
227,DE_479,53.135612,8.824424,50.742802,-1.240108
228,DE_486,48.66888046,12.53205872,40.66672516,-8.70162487
229,DE_487,48.66939163,12.53203583,38.73373795,-6.238950253
231,FR_999,NA,NA,43.51885,-5.39505
232,FR_000,49.28985,-1.20865,38.48785,-8.75785
233,FR_001,49.23305,-1.22865,43.68435,-7.88335
234,FR_002,49.29025,-1.22425,40.69515,-8.68735
235,NE_065,52.842232,6.230408,49.384003,-1.16773
236,NE_066,52.852436,6.351208,51.902611,-7.918835
237,ES_068,58.865631,25.845171,54.047585,8.929818
238,ES_069,59.08474,26.395899,53.494438,6.295163
239,FI_071,64.605164,25.484655,56.371189,-2.839893
240,FR_072,NA,NA,48.74495,-3.98075
241,FR_073,NA,NA,47.87345,-4.18475
242,FR_336,NA,NA,46.96835,-1.89425
243,FR_341,49.26145,-1.22755,36.99395,-7.95145
244,FR_342a,NA,NA,NA,NA
245,FR_342b,NA,NA,40.68165,-8.64825
246,FR_343,NA,NA,46.30405,-1.15225
247,FR_344,NA,NA,40.68415,-8.70375
248,FR_407,NA,NA,45.894534,-1.082713
249,FR_191,52.43235,26.96025,NA,NA
250,FR_409,NA,NA,45.894534,-1.082713
251,FR_408,64.41485,52.12135,NA,NA
252,FR_410,58.35745,35.59955,NA,NA
253,FR_412,NA,NA,45.894534,-1.082713
254,FR_413,NA,NA,45.894534,-1.082713
255,FR_411,65.25855,52.35665,NA,NA
256,FR_418,NA,NA,45.894534,-1.082713
257,FR_421,NA,NA,45.894534,-1.082713
258,FR_422,58.41705,45.52685,NA,NA
259,RU_425,50.992157,55.023304,16.134439,-16.471998
260,FR_427,NA,NA,45.894534,-1.082713
261,FR_428,NA,NA,45.894534,-1.082713
262,FR_429,NA,NA,45.869083,-1.117292
263,RU_497,50.417542,48.466824,13.660874,-15.305407
264,RU_499,56.87579,37.748379,NA,NA
265,RU_752,56.751999,37.74205,51.859467,6.461208
266,FR_755,NA,NA,45.893471,-1.082432
267,FR_759,46.28615,0.07205,38.81215,-8.94265
268,FR_6762,NA,NA,45.893471,-1.082432
269,FR_6764,46.78985,-0.01785,36.50605,-6.17265
270,FR_775,NA,NA,45.893471,-1.082432
271,FR_787,NA,NA,45.893471,-1.082432
272,FR_803,NA,NA,45.893471,-1.082432
273,FR_154,49.25075,-1.17175,NA,NA
274,FR_155,49.29025,-1.21405,44.69795,-1.18615
275,FR_1201,48.09005,0.53005,36.50995,-6.16855
276,FR_357,46.45395,4.92685,36.99435,-7.95085
277,FR_358,46.58035,5.03725,NA,NA
278,FR_359,46.37815,4.89315,38.51125,-8.76105
279,FR_360,46.45195,4.92375,38.42855,-8.74935
280,FR_361,46.63645,5.18585,36.46565,-6.22715
281,FR_363,46.28345,4.89565,37.00395,-7.87495
282,FR_364,46.44795,4.92005,NA,NA
283,FR_365,46.43665,4.89375,36.40285,-6.19355
284,FR_366,48.48315,-3.60775,48.84925,-3.18055
285,FR_367,NA,NA,43.54555,-7.26725
286,FR_368,NA,NA,45.893471,-1.082432
287,FR_369,59.685272,52.767349,47.60627,-2.703077
288,FR_370,48.38655,-3.93925,48.66865,-3.94305
289,FR_371,66.112549,52.658043,48.295307,-4.210643
290,FR_373,47.58775,5.85795,40.67385,-8.69625
291,FR_374a,46.38515,-0.02335,NA,NA
292,FR_374b,NA,NA,NA,NA
